age,gender,marital_status,months_at_company,num_appraisals,base_salary,num_penalties,num_raise_requests,num_benefits,past_performance_score,sentiment_score,attendance_rate,completion_rate,attrition_risk
50,Male,Married,34,2,10885.06,7,3,7,4,4,0.939,0.881,3
27,Female,Single,15,10,14324.67,7,4,1,0,2,0.853,0.219,5
46,Female,Divorced,77,6,14963.68,4,4,8,4,4,0.929,0.962,2
56,Male,Married,6,9,14230.82,6,3,9,4,1,0.99,0.721,3
57,Male,Divorced,81,3,17014.45,9,2,6,2,0,0.96,0.278,5
34,Female,Single,97,2,7370.07,1,5,0,3,2,0.878,0.046,2
54,Female,Married,63,2,17717.73,7,3,3,4,3,0.94,0.321,3
53,Male,Single,54,10,11046.86,9,0,2,3,1,0.866,0.155,5
37,Female,Single,39,1,17604.44,9,3,7,2,4,0.952,0.27,5
51,Female,Divorced,22,8,8089.52,8,0,6,1,3,0.973,0.438,4
55,Female,Married,42,3,9018.16,8,2,9,4,1,0.942,0.202,3
23,Female,Divorced,10,4,18762.23,9,4,6,2,4,0.855,0.233,5
59,Male,Divorced,104,5,19441.28,5,0,7,0,3,0.958,0.588,3
55,Female,Divorced,112,10,8570.83,0,5,10,4,4,0.858,0.459,1
50,Female,Divorced,91,10,6900.5,10,5,9,3,4,0.941,0.616,5
58,Female,Single,12,2,6582.03,0,2,2,0,3,0.861,0.994,1
52,Male,Single,28,5,16770.3,0,2,3,3,4,0.884,0.884,1
46,Female,Divorced,31,10,8198.56,8,2,7,2,4,0.869,0.946,4
42,Male,Divorced,82,8,3275.34,10,1,4,1,2,0.937,0.822,5
56,Female,Single,40,2,9078.04,7,1,8,4,1,0.959,0.458,2
22,Male,Single,98,4,5741.33,6,2,7,3,4,0.929,0.481,3
23,Male,Single,4,9,3768.42,0,5,6,1,0,0.983,0.228,2
57,Female,Divorced,25,9,12774.12,4,2,2,1,3,0.957,0.08,2
59,Male,Divorced,54,5,9007.3,2,5,6,3,0,0.946,0.724,1
57,Female,Married,65,8,17382.83,3,1,3,0,3,0.991,0.816,3
36,Male,Married,7,5,8702.75,9,4,0,3,1,0.931,0.229,5
46,Male,Married,74,4,12115.72,2,0,1,0,0,0.877,0.931,2
52,Male,Divorced,17,9,12823.69,7,3,1,4,3,0.973,0.234,3
57,Female,Married,50,2,8219.51,5,4,9,1,1,0.886,0.388,4
22,Female,Divorced,78,0,11875.95,5,4,10,0,1,0.942,0.393,3
55,Male,Divorced,13,0,6506.78,10,5,10,2,2,0.863,0.508,5
34,Female,Divorced,109,4,8268.47,4,5,2,1,2,0.963,0.374,3
34,Male,Married,69,1,12360.75,9,2,2,0,2,0.966,0.142,5
51,Female,Married,79,8,10808.69,6,1,2,1,3,0.921,0.672,4
31,Male,Single,115,10,8164.94,5,1,7,3,0,0.993,0.738,3
31,Male,Single,44,7,3393.42,6,1,2,0,1,0.958,0.379,2
46,Male,Married,32,10,11531.35,2,4,2,0,4,0.942,0.113,3
44,Female,Married,113,8,8185.3,8,2,10,1,1,0.923,0.074,5
41,Female,Single,30,8,8470.0,7,5,8,0,4,0.924,0.771,5
45,Female,Single,75,4,5608.7,0,4,10,0,4,0.944,0.114,2
44,Female,Divorced,21,5,5441.27,10,2,0,1,4,0.97,0.536,5
57,Male,Divorced,101,10,17392.44,5,2,10,0,3,0.893,0.598,4
55,Male,Divorced,68,6,10380.23,7,2,3,3,1,0.875,0.486,3
24,Male,Divorced,48,3,9335.57,3,0,1,3,4,0.92,0.453,2
55,Female,Single,32,10,6963.13,9,2,2,1,4,0.98,0.337,4
27,Female,Married,84,8,16589.24,8,3,3,2,3,0.945,0.15,4
51,Male,Single,112,0,4519.21,2,2,4,4,2,0.981,0.133,1
47,Female,Divorced,30,4,12015.52,4,4,5,0,4,0.999,0.31,3
48,Male,Married,55,0,11886.96,2,5,8,1,0,0.891,0.815,3
35,Male,Married,94,6,14867.54,3,5,8,2,1,0.922,0.614,2
22,Female,Single,59,0,10187.39,5,2,8,1,0,0.976,0.506,4
50,Male,Single,42,5,12728.32,2,3,6,0,0,0.954,0.452,2
24,Male,Single,117,8,7942.88,9,5,7,4,1,0.853,0.92,5
22,Male,Married,98,7,9398.06,2,2,0,0,2,0.963,0.436,3
30,Female,Divorced,67,9,4485.43,2,3,0,4,1,0.996,0.38,1
47,Male,Single,99,2,14228.42,0,0,9,0,3,0.866,0.758,2
51,Female,Married,53,3,8963.37,6,5,3,3,3,0.981,0.747,3
44,Female,Single,106,7,9956.62,10,4,5,2,2,0.997,0.585,5
53,Female,Divorced,87,6,12472.4,1,0,6,4,3,0.855,0.073,1
29,Male,Divorced,41,5,4360.87,1,0,1,1,4,0.869,0.425,2
41,Female,Married,5,4,16646.54,0,1,4,0,0,0.911,0.456,1
30,Female,Single,46,2,4156.86,6,4,7,2,3,0.893,0.169,4
24,Male,Divorced,50,6,8823.21,0,0,1,4,3,0.9,0.763,0
48,Female,Single,101,3,16787.63,0,2,8,1,3,0.898,0.138,1
47,Male,Single,106,3,12547.22,0,4,5,1,0,0.868,0.671,2
42,Female,Divorced,76,4,13247.48,6,4,9,0,3,0.931,0.816,4
41,Male,Single,41,7,6833.83,0,2,9,0,0,0.871,0.719,2
52,Female,Single,74,5,5532.46,3,3,0,3,0,0.97,0.646,2
45,Male,Divorced,118,10,11486.78,8,1,8,2,3,0.915,0.959,4
46,Male,Single,74,7,4235.39,0,0,7,1,0,0.917,0.739,1
24,Female,Single,22,2,14671.11,6,1,8,0,3,0.994,0.781,4
34,Male,Single,45,3,7121.22,3,3,10,2,4,0.872,0.785,2
36,Male,Divorced,16,2,4216.52,6,2,2,1,0,0.857,0.212,4
46,Male,Divorced,63,6,16047.39,2,0,1,0,4,0.881,0.851,3
42,Male,Married,17,8,7983.31,4,5,1,3,4,0.912,0.584,2
29,Female,Divorced,91,6,13487.26,8,1,7,1,0,0.881,0.818,5
59,Female,Divorced,90,5,13403.31,5,3,10,3,2,0.984,0.146,3
54,Male,Married,61,9,5663.5,5,2,2,4,0,0.85,0.089,3
33,Male,Married,14,6,11171.21,9,0,4,1,3,0.972,0.523,4
53,Female,Single,96,10,19162.14,6,1,0,2,2,0.914,0.393,4
45,Female,Single,19,6,4097.82,8,1,4,2,3,0.874,0.501,4
50,Female,Married,20,10,13096.16,10,4,7,4,3,0.934,0.212,5
25,Female,Married,43,4,13005.94,0,4,1,3,0,0.916,0.465,0
53,Female,Married,117,9,10888.22,10,2,2,4,4,0.93,0.694,4
33,Male,Divorced,59,8,10166.95,10,2,8,3,0,0.925,0.705,5
59,Female,Divorced,66,5,11136.23,5,4,5,1,4,0.907,0.793,4
56,Male,Married,56,2,12490.29,0,3,6,3,4,0.942,0.943,1
31,Female,Single,85,7,10936.58,5,4,3,3,4,0.944,0.752,3
42,Female,Divorced,86,7,12981.13,3,4,8,2,1,0.872,0.863,2
39,Female,Married,34,6,4533.03,4,3,10,3,3,0.888,0.735,2
57,Female,Divorced,112,6,13034.49,7,2,7,3,1,0.861,0.715,4
43,Female,Single,113,5,5510.61,7,5,9,0,2,0.883,0.558,4
39,Female,Married,49,2,6954.78,5,1,9,3,3,0.863,0.137,2
26,Female,Single,39,0,14563.16,9,5,7,1,4,0.914,0.813,5
50,Female,Married,52,1,10957.16,4,2,5,3,0,0.969,0.135,2
59,Male,Divorced,68,7,18143.4,10,3,10,4,1,0.939,0.0,5
44,Female,Married,54,3,12464.07,4,1,10,4,0,0.981,0.551,2
44,Male,Single,90,7,16722.2,9,0,8,4,1,0.887,0.921,3
37,Female,Married,48,7,6426.6,7,0,10,3,4,0.863,0.086,3
31,Female,Divorced,45,4,6034.75,9,2,4,1,0,0.953,0.108,5
54,Male,Single,11,3,11228.12,7,2,9,4,0,0.97,0.117,3
52,Male,Single,115,7,15852.9,2,1,7,0,4,0.913,0.504,2
40,Male,Married,19,3,5170.56,0,1,6,1,3,0.851,0.736,0
45,Male,Single,5,5,3171.1,8,0,2,3,3,0.978,0.403,3
30,Male,Divorced,105,2,6636.48,1,2,8,0,4,0.934,0.214,2
32,Male,Married,39,8,12521.56,7,1,4,2,0,0.928,0.004,3
51,Male,Single,20,4,19767.56,4,4,6,1,1,0.85,0.216,3
55,Female,Single,7,10,8414.99,5,2,6,4,1,0.993,0.733,3
36,Male,Divorced,24,7,6866.04,1,2,10,1,1,0.915,0.185,2
22,Male,Single,112,1,10554.74,9,1,1,2,0,0.964,0.84,5
33,Male,Single,76,0,12785.12,4,3,8,1,2,0.854,0.983,3
42,Male,Married,59,0,6602.04,6,0,9,0,3,0.926,0.177,4
40,Female,Divorced,29,6,14412.82,5,0,5,3,2,0.876,0.176,3
53,Male,Single,73,9,8877.47,8,3,0,2,4,0.97,0.998,4
28,Female,Single,75,0,11882.67,4,2,5,1,2,0.885,0.985,3
38,Male,Single,66,0,9802.02,7,5,4,2,3,0.887,0.122,4
56,Female,Single,86,3,4876.81,4,0,1,3,0,0.946,0.124,2
51,Male,Single,77,5,16086.25,4,4,10,2,3,0.965,0.728,2
46,Female,Married,36,2,15541.59,3,2,5,0,1,0.897,0.23,3
45,Female,Single,28,6,6732.57,8,0,7,1,2,0.887,0.624,4
52,Male,Single,72,4,10678.47,0,1,0,2,4,0.917,0.471,2
55,Female,Divorced,29,7,8359.96,8,5,3,2,2,0.924,0.486,5
31,Male,Divorced,100,3,4954.68,6,0,7,0,4,0.973,0.283,3
40,Male,Divorced,106,4,11486.12,3,3,2,1,4,0.945,0.416,3
55,Female,Married,22,5,9049.2,3,5,1,0,1,0.925,0.075,3
27,Female,Married,61,6,9827.99,1,1,4,2,3,0.973,0.865,1
54,Male,Divorced,43,5,16770.61,2,4,3,1,1,0.852,0.117,2
34,Male,Single,14,4,10676.6,9,5,5,1,0,0.858,0.189,5
52,Male,Married,12,8,19307.53,9,4,6,0,3,0.915,0.067,5
56,Female,Single,14,5,3399.37,7,4,7,3,4,0.878,0.317,4
32,Male,Divorced,55,2,10649.45,0,2,0,4,3,0.96,0.064,0
53,Male,Single,52,4,14121.96,7,3,9,1,4,0.937,0.397,4
51,Male,Married,92,9,10005.16,6,5,1,2,4,0.986,0.117,3
26,Male,Single,34,3,12184.29,7,3,6,4,4,0.956,0.585,4
23,Female,Divorced,87,7,3296.89,2,5,10,4,1,0.857,0.52,0
29,Male,Divorced,50,6,9280.49,0,2,0,4,4,0.935,0.003,0
40,Female,Single,79,4,11844.53,3,5,6,0,1,0.863,0.839,3
59,Male,Single,10,0,18621.62,9,0,1,1,3,0.887,0.789,5
32,Female,Divorced,53,10,6411.5,3,2,8,2,2,0.9,0.367,3
38,Female,Single,69,6,4652.58,1,4,1,0,0,0.864,0.083,2
45,Female,Divorced,42,4,15434.79,9,2,6,1,0,0.918,0.827,4
28,Female,Married,65,9,10446.6,1,4,6,1,4,0.97,0.618,2
24,Female,Divorced,109,9,11654.36,4,5,2,4,4,0.936,0.14,2
28,Female,Married,118,2,16134.38,3,3,3,0,0,0.935,0.688,3
22,Female,Divorced,60,7,11682.64,9,5,3,3,0,0.946,0.921,4
24,Male,Married,83,2,17888.43,1,4,8,0,0,0.993,0.841,2
45,Female,Divorced,99,10,11536.43,4,3,1,1,2,0.868,0.822,4
39,Female,Divorced,56,6,10244.06,0,3,8,0,4,0.919,0.765,2
43,Female,Married,8,0,4588.85,3,4,0,2,4,0.914,0.24,3
29,Female,Single,73,6,13262.01,7,4,7,1,0,0.89,0.388,4
44,Male,Married,65,10,18453.73,0,4,7,2,1,0.943,0.162,1
59,Female,Single,105,7,16655.38,10,3,0,2,1,0.99,0.657,5
53,Female,Married,38,9,14556.07,7,4,2,2,2,0.888,0.58,4
58,Male,Single,32,0,17071.45,9,2,7,0,1,0.863,0.599,5
31,Male,Divorced,10,1,6288.44,8,2,8,0,4,0.921,0.167,5
38,Male,Single,57,10,11461.17,2,1,2,4,1,0.918,0.366,1
43,Male,Married,96,9,6820.51,3,3,10,1,1,0.907,0.4,2
58,Male,Single,19,5,11993.38,6,1,2,1,2,0.96,0.291,4
26,Male,Divorced,19,1,5135.82,8,4,6,1,2,0.99,0.565,4
44,Female,Divorced,34,3,12326.7,5,2,4,3,0,0.898,0.913,2
33,Female,Married,37,0,16795.52,10,2,1,0,0,0.912,0.784,5
32,Female,Married,56,9,18596.77,1,0,0,4,2,0.856,0.973,0
32,Female,Divorced,77,8,11089.69,8,5,9,2,3,0.925,0.64,5
56,Female,Married,78,5,9898.89,0,0,3,3,1,0.988,0.962,0
52,Female,Married,51,9,9598.17,3,3,6,3,4,0.856,0.934,2
43,Male,Married,48,6,4645.05,2,1,3,4,3,0.971,0.48,1
25,Female,Divorced,1,3,12898.92,7,4,3,4,1,0.899,0.199,3
42,Male,Divorced,49,5,12973.26,0,1,6,4,1,0.979,0.1,0
27,Male,Single,69,0,10277.87,5,4,1,2,0,0.934,0.666,3
51,Female,Married,91,9,4645.45,10,2,8,1,4,0.928,0.898,5
40,Male,Married,21,4,15339.85,7,4,8,3,1,0.912,0.687,4
42,Female,Married,9,10,13386.69,6,1,1,2,2,0.853,0.503,4
49,Female,Single,50,10,16222.82,9,3,7,3,2,0.852,0.568,4
52,Female,Divorced,30,6,3051.22,10,0,8,1,4,0.968,0.687,5
40,Male,Divorced,119,1,11098.32,7,5,8,4,4,0.854,0.747,3
59,Female,Married,106,10,17135.27,4,5,8,0,3,0.946,0.524,3
52,Female,Married,17,2,19252.43,7,2,7,4,0,0.897,0.228,3
58,Female,Single,110,8,10883.93,2,3,4,1,1,0.883,0.61,2
32,Male,Single,75,4,12291.84,5,0,5,4,3,0.966,0.039,2
27,Female,Divorced,98,9,9340.03,9,2,5,1,4,0.918,0.144,5
54,Male,Single,94,0,16624.04,4,1,2,1,4,0.88,0.7,3
52,Female,Divorced,95,5,3684.57,4,2,2,4,4,0.956,0.478,2
24,Male,Married,22,10,17530.02,4,0,2,2,1,0.934,0.697,2
58,Male,Divorced,77,10,6957.94,1,2,8,3,4,0.891,0.646,0
25,Male,Married,68,2,5389.52,8,0,3,3,3,0.973,0.654,4
52,Female,Divorced,12,7,12231.52,5,4,1,2,2,0.858,0.61,3
52,Female,Single,77,0,5113.24,5,2,8,0,3,0.986,0.75,3
57,Female,Married,44,6,16177.01,6,2,9,3,4,0.864,0.811,4
26,Male,Single,66,3,18332.35,6,3,7,3,4,0.989,0.738,4
50,Female,Single,8,6,13629.13,4,1,9,0,3,0.923,0.763,3
46,Female,Single,89,4,8505.99,0,2,1,2,3,0.882,0.084,0
23,Male,Divorced,20,3,9860.0,6,5,2,3,1,0.871,0.87,4
24,Male,Divorced,1,7,9911.1,3,0,6,3,1,0.871,0.447,2
58,Female,Divorced,110,1,9928.84,0,3,10,3,0,0.969,0.817,0
56,Female,Married,18,9,8445.07,9,3,4,1,0,0.943,0.147,5
52,Male,Married,115,9,3860.97,9,1,4,3,2,0.974,0.944,4
57,Female,Single,95,10,9435.64,4,5,0,1,4,0.89,0.616,4
29,Male,Divorced,32,10,11172.38,8,3,6,3,3,0.928,0.907,4
41,Female,Married,103,5,13092.4,8,1,2,3,1,0.914,0.551,3
58,Female,Married,104,4,14317.17,2,3,8,3,3,0.892,0.544,3
57,Female,Divorced,90,7,18275.27,3,2,6,4,4,0.922,0.942,2
36,Male,Married,112,8,5094.56,9,2,1,1,1,0.895,0.161,5
26,Female,Married,52,8,19992.11,8,5,1,3,2,0.915,0.021,5
32,Female,Divorced,31,4,15690.89,7,4,2,0,3,0.94,0.007,5
59,Female,Divorced,32,6,7857.74,1,0,7,3,2,0.929,0.685,0
25,Male,Divorced,76,2,11639.67,7,3,3,2,2,0.921,0.832,4
23,Female,Single,70,10,6636.94,3,0,6,4,1,0.901,0.05,1
40,Female,Married,68,9,3787.76,2,0,3,3,0,0.868,0.118,2
53,Female,Divorced,104,5,4522.27,6,4,10,1,1,0.919,0.126,5
26,Female,Divorced,109,7,15800.32,6,4,8,2,2,0.976,0.058,4
59,Female,Single,58,6,17471.46,8,3,5,2,1,0.981,0.136,3
31,Male,Divorced,58,5,6776.4,8,3,6,4,3,0.85,0.093,4
39,Male,Single,44,4,8056.69,8,0,2,0,2,0.915,0.818,5
50,Male,Divorced,63,1,9938.54,3,5,6,1,1,0.953,0.231,3
23,Female,Divorced,71,3,5286.83,7,4,4,3,1,0.897,0.968,4
35,Female,Married,44,6,9907.68,5,1,4,2,2,0.936,0.564,2
37,Female,Divorced,100,7,12931.11,9,2,2,3,3,0.995,0.141,4
28,Female,Divorced,63,9,15568.31,1,1,8,4,0,0.885,0.508,0
44,Female,Single,62,7,19439.62,10,1,0,4,4,0.952,0.881,4
47,Male,Divorced,94,5,15662.09,1,3,1,2,3,0.96,0.874,1
25,Female,Single,3,3,16877.33,10,1,2,0,4,0.979,0.4,5
38,Female,Divorced,90,5,14883.41,9,4,3,2,1,0.962,0.476,5
32,Female,Married,57,6,14063.87,6,5,7,3,1,0.854,0.027,4
42,Male,Single,9,10,4462.61,0,3,6,4,0,0.855,0.536,0
40,Female,Married,90,4,15683.07,9,0,8,1,0,0.927,0.619,4
35,Male,Divorced,117,1,5626.24,5,4,4,1,2,0.923,0.683,3
42,Female,Single,58,10,19555.98,5,5,2,2,2,0.971,0.223,3
43,Female,Single,105,6,12942.13,5,0,2,0,0,0.851,0.76,3
30,Female,Married,77,6,5227.3,6,0,7,0,1,0.86,0.589,4
47,Female,Single,1,3,15423.21,1,2,1,2,1,0.878,0.834,2
30,Female,Single,17,6,9218.17,8,0,7,0,0,0.888,0.097,5
57,Female,Divorced,60,1,4980.48,7,3,6,0,1,0.882,0.923,5
45,Female,Married,5,9,13759.02,2,3,0,3,4,0.938,0.695,2
53,Female,Single,94,5,4960.35,3,3,9,3,4,0.882,0.307,2
55,Male,Divorced,5,0,13365.65,10,0,5,3,3,0.976,0.662,3
23,Female,Single,96,2,4233.11,10,4,7,3,2,0.889,0.989,5
34,Male,Single,79,0,4159.6,4,0,1,3,1,0.931,0.3,2
42,Male,Divorced,115,1,4287.71,2,1,8,0,3,0.976,0.713,2
40,Male,Married,63,0,14523.54,4,2,0,4,1,0.994,0.751,2
42,Male,Single,82,10,8778.79,10,2,1,4,2,0.959,0.434,4
50,Male,Divorced,24,6,15378.02,1,0,2,1,4,0.93,0.903,2
45,Male,Divorced,14,1,9623.28,10,4,10,4,0,0.927,0.675,4
44,Male,Single,82,3,7476.75,3,4,2,0,3,0.971,0.353,3
41,Female,Married,15,10,16878.0,4,0,1,2,4,0.95,0.759,1
37,Male,Married,68,4,17042.29,7,0,8,3,0,0.925,0.792,4
58,Female,Single,1,8,15743.98,5,5,9,1,4,0.981,0.928,4
40,Female,Married,99,8,7177.15,2,4,4,2,4,0.956,0.16,2
25,Male,Married,108,5,3986.22,8,1,9,3,1,0.879,0.534,3
48,Male,Divorced,43,1,17176.78,9,4,6,1,0,0.868,0.164,5
58,Female,Married,54,2,8025.73,9,2,9,0,0,0.922,0.207,5
44,Male,Single,16,2,14238.78,2,4,5,2,4,0.938,0.67,3
32,Female,Single,4,0,13933.64,4,5,10,2,4,0.981,0.601,3
33,Male,Single,34,2,8831.3,7,0,4,2,2,0.961,0.312,4
43,Male,Single,1,4,5687.98,0,5,10,4,2,0.987,0.2,1
28,Male,Divorced,88,10,5840.08,3,3,6,0,1,0.912,0.823,3
52,Male,Single,51,5,12569.56,10,4,3,1,1,0.978,0.818,5
52,Female,Divorced,62,5,15634.6,4,5,7,1,2,0.935,0.026,3
32,Male,Divorced,44,6,12911.04,9,2,3,3,2,0.898,0.133,4
52,Female,Single,48,3,13036.81,0,1,7,1,2,0.926,0.211,2
43,Male,Divorced,70,3,19919.86,9,5,0,3,0,0.862,0.123,5
34,Female,Divorced,91,8,6371.43,3,2,10,2,3,0.938,0.557,1
59,Male,Single,75,3,5878.99,0,4,5,0,1,0.939,0.495,2
41,Female,Single,47,3,12377.11,5,5,2,3,1,0.863,0.839,3
44,Female,Married,55,2,13591.48,9,0,2,3,2,0.873,0.231,3
44,Female,Married,120,0,5251.97,3,5,2,2,3,0.938,0.202,3
37,Male,Divorced,89,4,7736.71,0,1,3,3,3,0.864,0.943,0
23,Male,Married,15,0,14251.47,8,0,4,3,2,0.944,0.658,3
46,Female,Married,110,4,15976.74,4,5,1,2,1,0.942,0.777,3
57,Female,Single,24,3,13421.93,0,5,6,0,2,0.941,0.087,1
24,Male,Divorced,109,3,10886.19,1,1,3,2,4,0.932,0.081,1
53,Male,Single,111,8,10160.05,10,3,3,1,4,0.934,0.14,5
30,Male,Single,5,2,16723.81,1,2,7,2,3,0.891,0.938,2
30,Female,Single,19,4,10419.21,10,2,3,0,1,0.987,0.076,5
39,Male,Divorced,112,3,4122.04,0,2,8,1,1,0.913,0.583,1
42,Female,Divorced,115,9,9465.51,0,4,5,3,1,0.865,0.741,1
29,Male,Divorced,2,5,8120.71,8,4,10,4,3,0.857,0.408,4
45,Female,Divorced,21,1,5996.28,10,1,10,3,2,0.872,0.419,5
28,Male,Married,82,1,17641.23,8,0,10,1,0,0.984,0.911,4
56,Male,Single,114,9,16533.98,7,1,10,0,0,0.97,0.803,4
54,Male,Single,26,10,3358.24,8,0,7,4,2,0.92,0.134,3
30,Female,Single,117,6,7548.42,8,1,5,1,2,0.919,0.88,4
23,Female,Married,117,4,12668.26,9,1,3,3,4,0.864,0.836,4
35,Male,Single,113,10,10056.55,7,2,5,2,4,0.984,0.42,4
24,Male,Divorced,34,8,11561.71,1,3,1,2,4,0.905,0.169,2
35,Male,Divorced,83,1,19833.62,6,0,10,4,4,0.994,0.637,3
31,Female,Single,60,8,17512.04,8,4,1,2,2,0.942,0.648,4
33,Male,Divorced,14,2,14871.43,2,2,8,3,4,0.89,0.272,1
37,Female,Single,95,8,9413.25,0,0,8,3,1,0.904,0.245,0
27,Male,Married,84,4,11552.69,8,3,0,1,4,0.988,0.455,4
54,Female,Single,99,4,15950.58,0,1,9,2,2,0.857,0.796,1
47,Male,Married,70,3,19583.18,5,5,9,1,4,0.915,0.282,3
48,Male,Divorced,62,8,14218.85,8,3,0,1,4,0.974,0.53,5
58,Male,Married,99,0,17347.21,3,2,5,3,1,0.996,0.763,3
59,Female,Married,67,9,12747.01,6,0,0,1,4,0.884,0.07,4
36,Male,Divorced,13,7,17831.43,7,0,8,0,1,0.903,0.293,5
37,Female,Divorced,55,6,9665.38,8,3,3,3,3,0.88,0.029,4
53,Female,Married,110,9,6142.7,8,4,4,2,0,0.969,0.856,5
28,Female,Divorced,91,8,7401.66,9,1,8,4,0,0.96,0.432,4
23,Male,Single,1,1,5483.86,5,1,6,0,0,0.96,0.509,3
41,Male,Single,64,7,10273.47,2,4,10,3,0,0.904,0.982,1
35,Female,Single,98,8,4497.44,9,4,6,3,2,0.958,0.69,5
23,Female,Married,33,0,9657.59,6,4,6,2,4,0.976,0.01,4
33,Male,Married,21,3,6683.69,0,4,4,0,2,0.922,0.601,2
33,Male,Married,101,8,19429.9,0,5,2,2,2,0.9,0.213,2
35,Female,Married,39,8,5595.21,5,4,7,4,3,0.959,0.284,3
50,Female,Married,4,9,8817.54,7,4,2,2,0,0.913,0.398,5
37,Male,Single,109,4,18698.36,2,3,5,3,3,0.874,0.199,1
22,Female,Single,86,0,19288.01,7,3,1,2,0,0.953,0.561,3
40,Male,Divorced,62,4,6402.39,0,4,3,1,1,0.995,0.847,1
45,Female,Divorced,101,7,18894.07,0,5,2,3,4,0.952,0.856,1
49,Male,Single,33,0,10485.54,10,2,3,4,3,0.925,0.185,4
50,Female,Divorced,5,2,6225.68,9,2,3,2,4,0.923,0.019,5
32,Male,Divorced,30,2,3498.93,6,4,10,1,3,0.997,0.14,3
32,Male,Divorced,40,10,7104.53,8,4,7,2,4,0.998,0.169,4
56,Female,Single,104,1,19811.74,3,3,9,1,0,0.899,0.791,2
40,Male,Single,120,10,14478.0,0,3,0,1,3,0.937,0.647,2
36,Male,Divorced,29,8,4212.44,7,5,2,4,4,0.858,0.381,4
39,Male,Single,21,4,8828.28,4,5,4,1,0,0.972,0.751,2
36,Female,Single,87,2,19972.22,2,1,7,3,2,0.913,0.909,1
51,Female,Single,103,9,10946.08,7,3,5,4,0,0.892,0.552,4
56,Female,Married,59,9,13577.83,7,0,10,0,0,0.857,0.028,5
50,Female,Married,77,7,19822.75,10,4,10,1,2,0.905,0.047,5
23,Female,Single,111,4,3678.04,4,1,1,0,2,0.924,0.39,2
34,Male,Married,107,0,5299.42,7,5,9,0,1,0.918,0.884,5
45,Male,Divorced,48,3,11114.19,6,0,7,2,4,0.858,0.888,3
32,Male,Single,84,3,16877.75,4,4,3,3,1,0.987,0.369,3
49,Female,Married,32,5,4536.16,5,1,3,3,3,0.931,0.735,2
31,Male,Single,47,6,5172.24,7,0,7,1,1,0.967,0.179,4
36,Female,Divorced,110,8,10038.72,0,3,3,4,3,0.892,0.358,1
48,Male,Divorced,110,6,5727.85,5,4,2,2,1,0.865,0.042,3
37,Female,Divorced,2,5,13701.49,10,2,3,4,1,0.966,0.411,4
58,Female,Divorced,4,5,9240.27,10,4,0,4,2,0.885,0.015,4
47,Female,Divorced,97,7,15907.39,8,1,2,1,2,0.929,0.254,4
45,Female,Divorced,8,6,6960.94,2,0,10,2,1,0.997,0.19,2
40,Male,Divorced,87,1,7461.18,9,5,1,4,4,0.883,0.243,4
22,Female,Married,55,3,12553.72,5,2,4,3,0,0.909,0.317,3
44,Female,Married,37,8,17463.13,6,2,5,2,0,0.937,0.267,3
51,Female,Married,65,10,3629.62,2,0,8,0,1,0.924,0.054,2
22,Male,Divorced,40,2,11911.28,1,5,5,3,3,0.987,0.671,1
23,Female,Married,85,3,5654.47,2,5,4,3,2,0.854,0.944,2
51,Male,Divorced,23,9,10074.72,6,3,7,3,1,0.968,0.681,4
39,Male,Married,77,4,16816.39,8,1,8,4,1,0.886,0.447,3
44,Male,Married,42,7,8389.33,1,3,4,2,1,0.892,0.407,2
